ID,Name,Age
S001,Student 1,21
S002,Student 2,22
S003,Student 3,23
S004,Student 4,24
S005,Student 5,20
S006,Student 6,21
S007,Student 7,22
S008,Student 8,23
S009,Student 9,24
S010,Student 10,20
S011,Student 11,21
S012,Student 12,22
S013,Student 13,23
S014,Student 14,24
S015,Student 15,20
S016,Student 16,21
S017,Student 17,22
S018,Student 18,23
S019,Student 19,24
S020,Student 20,20
S021,Student 21,21
S022,Student 22,22
S023,Student 23,23
S024,Student 24,24
S025,Student 25,20
S026,Student 26,21
S027,Student 27,22
S028,Student 28,23
S029,Student 29,24
S030,Student 30,20
S031,Student 31,21
S032,Student 32,22
S033,Student 33,23
S034,Student 34,24
S035,Student 35,20
S036,Student 36,21
S037,Student 37,22
S038,Student 38,23
S039,Student 39,24
S040,Student 40,20
S041,Student 41,21
S042,Student 42,22
S043,Student 43,23
S044,Student 44,24
S045,Student 45,20
S046,Student 46,21
S047,Student 47,22
S048,Student 48,23
S049,Student 49,24
S050,Student 50,20
S051,Student 51,21
S052,Student 52,22
S053,Student 53,23
S054,Student 54,24
S055,Student 55,20
S056,Student 56,21
S057,Student 57,22
S058,Student 58,23
S059,Student 59,24
S060,Student 60,20
S061,Student 61,21
S062,Student 62,22
S063,Student 63,23
S064,Student 64,24
S065,Student 65,20
S066,Student 66,21
S067,Student 67,22
S068,Student 68,23
S069,Student 69,24
S070,Student 70,20
S071,Student 71,21
S072,Student 72,22
S073,Student 73,23
S074,Student 74,24
S075,Student 75,20
S076,Student 76,21
S077,Student 77,22
S078,Student 78,23
S079,Student 79,24
S080,Student 80,20
S081,Student 81,21
S082,Student 82,22
S083,Student 83,23
S084,Student 84,24
S085,Student 85,20
S086,Student 86,21
S087,Student 87,22
S088,Student 88,23
S089,Student 89,24
S090,Student 90,20
S091,Student 91,21
S092,Student 92,22
S093,Student 93,23
S094,Student 94,24
S095,Student 95,20
S096,Student 96,21
S097,Student 97,22
S098,Student 98,23
S099,Student 99,24
S100,Student 100,20
S101,Student 101,21
S102,Student 102,22
S103,Student 103,23
S104,Student 104,24
S105,Student 105,20
S106,Student 106,21
S107,Student 107,22
S108,Student 108,23
S109,Student 109,24
S110,Student 110,20
S111,Student 111,21
S112,Student 112,22
S113,Student 113,23
S114,Student 114,24
S115,Student 115,20
S116,Student 116,21
S117,Student 117,22
S118,Student 118,23
S119,Student 119,24
S120,Student 120,20
S121,Student 121,21
S122,Student 122,22
S123,Student 123,23
S124,Student 124,24
S125,Student 125,20
S126,Student 126,21
S127,Student 127,22
S128,Student 128,23
S129,Student 129,24
S130,Student 130,20
S131,Student 131,21
S132,Student 132,22
S133,Student 133,23
S134,Student 134,24
S135,Student 135,20
S136,Student 136,21
S137,Student 137,22
S138,Student 138,23
S139,Student 139,24
S140,Student 140,20
S141,Student 141,21
S142,Student 142,22
S143,Student 143,23
S144,Student 144,24
S145,Student 145,20
S146,Student 146,21
S147,Student 147,22
S148,Student 148,23
S149,Student 149,24
S150,Student 150,20
S151,Student 151,21
S152,Student 152,22
S153,Student 153,23
S154,Student 154,24
S155,Student 155,20
S156,Student 156,21
S157,Student 157,22
S158,Student 158,23
S159,Student 159,24
S160,Student 160,20
S161,Student 161,21
S162,Student 162,22
S163,Student 163,23
S164,Student 164,24
S165,Student 165,20
S166,Student 166,21
S167,Student 167,22
S168,Student 168,23
S169,Student 169,24
S170,Student 170,20
S171,Student 171,21
S172,Student 172,22
S173,Student 173,23
S174,Student 174,24
S175,Student 175,20
S176,Student 176,21
S177,Student 177,22
S178,Student 178,23
S179,Student 179,24
S180,Student 180,20
S181,Student 181,21
S182,Student 182,22
S183,Student 183,23
S184,Student 184,24
S185,Student 185,20
S186,Student 186,21
S187,Student 187,22
S188,Student 188,23
S189,Student 189,24
S190,Student 190,20
S191,Student 191,21
S192,Student 192,22
S193,Student 193,23
S194,Student 194,24
S195,Student 195,20
S196,Student 196,21
